,dis_0,first_0,later_0,dis_1,first_1,later_1,dis_2,first_2,later_2,dis_3,first_3,later_3,dis_4,first_4,later_4,dis_5,first_5,later_5,dis_6,death
dis_0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
first_0,0,0,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p_0
later_0,0,0,0.955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045
dis_1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
first_1,0,0,0,0,0,0.939,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061
later_1,0,0,0,0,0,0.977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023
dis_2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
first_2,0,0,0,0,0,0,0,0,0.944,0,0,0,0,0,0,0,0,0,0,0.056
later_2,0,0,0,0,0,0,0,0,0.951,0,0,0,0,0,0,0,0,0,0,0.049
dis_3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
first_3,0,0,0,0,0,0,0,0,0,0,0,0.851,0,0,0,0,0,0,0,0.149
later_3,0,0,0,0,0,0,0,0,0,0,0,0.953,0,0,0,0,0,0,0,0.047
dis_4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
first_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.748,0,0,0,0,0.252
later_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.889,0,0,0,0,0.111
dis_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
first_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402,0,0.598
later_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.904,0,0.096
dis_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
