,dis_0,first_0,later_0,dis_1,first_1,later_1,dis_2,first_2,later_2,dis_3,first_3,later_3,dis_4,first_4,later_4,dis_5,first_5,later_5,dis_6,death
dis_0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
first_0,0,0,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p_f0
later_0,0,0,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p_l0
dis_1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
first_1,0,0,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0,0,0,p_f1
later_1,0,0,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0,0,0,p_l1
dis_2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
first_2,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0,0,0,p_f2
later_2,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0,0,0,p_l2
dis_3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
first_3,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0,0,p_f3
later_3,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0,0,p_l3
dis_4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
first_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0,0,p_f4
later_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0,0,p_l4
dis_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
first_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,p_f5
later_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,p_l5
dis_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
